Samples Compared,components=[2],"components=[2, 0]",components=[1],"components=[1, 2]",components=[0],"components=[0, 1]","components=[0, 1, 2]"
Experts Resting vs. Experts Open Monitoring,0.83,0.99,0.97,0.95,1,1,0.99
Experts Resting vs. Experts Compassion,0.63,0.87,0.98,0.88,0.96,0.98,0.93
Experts Open Monitoring vs. Experts Compassion,0.68,0.97,1,0.98,1,1,1
Experts Meditating vs. Experts Resting,0.74,0.94,0.9,0.85,0.99,0.98,0.95
Novices Resting vs. Novices Open Monitoring,0.95,1,0.94,0.98,1,1,1
Novices Resting vs. Novices Compassion,0.18,0.66,1,0.84,1,1,0.97
Novices Open Monitoring vs. Novices Compassion,0.71,0.88,0.71,0.76,0.93,0.86,0.86
Novices Meditating vs. Novices Resting,0.55,0.94,1,0.96,1,1,1
All Resting vs. All Open Monitoring,0.85,0.99,0.99,0.98,1,1,1
All Resting vs. All Compassion,0.043,0.18,0.98,0.3,0.87,0.97,0.48
All Open Monitoring vs. All Compassion,0.25,0.64,0.66,0.37,0.99,0.9,0.64
All Meditating vs. All Resting,0.34,0.73,1,0.82,0.99,1,0.94
Experts Resting vs. Novices Open Monitoring,0.7,0.32,0.33,0.55,0.089,0.14,0.3
Experts Open Monitoring vs. Novices Resting,0.069,0.1,0.32,0.095,0.39,0.31,0.13
Experts Resting vs. Novices Compassion,0.17,0.21,0.062,0.068,0.39,0.12,0.099
Experts Compassion vs. Novices Resting,0.0012,0.0034,0.56,0.012,0.15,0.28,0.015
Experts Open Monitoring vs. Novices Compassion,0.016,0.081,0.087,0.013,0.78,0.28,0.055
Experts Compassion vs. Novices Open Monitoring,0.0032,0.0016,0.22,0.0054,0.033,0.053,0.0043
Experts Resting vs. Novices Resting,0.65,0.67,0.26,0.49,0.6,0.37,0.52
Experts Open Monitoring vs. Novices Open Monitoring,0.16,0.076,0.18,0.13,0.11,0.097,0.072
Experts Compassion vs. Novices Compassion,0.02,0.096,0.86,0.14,0.69,0.83,0.25
Experts All vs. Novices All,0.0001,0.0001,0.0003,0.0001,0.0002,0.0001,0.0001
Experts Resting vs. Novices Meditating,0.33,0.18,0.096,0.17,0.12,0.076,0.11
Experts Meditating vs. Novices Resting,0.0006,0.0007,0.081,0.0022,0.035,0.033,0.0033
